,hr_v,hr_ml,hr_ap,%det_v,%det_ml,%det_ap,sex_m1_f2,age,heigth,weigth,age_onset,duration_years,onset_1early_49_2_middle_50-69_3late_70_,ledd,postural_alteration_1si2no,falls_last_year_1si_2no,updrs-ii,updrs-iii,h-y,tilt,obliquity,rotation,stance,swing,double_support,single_support,stride_length,cadence,gait_speed,stipsi_1si_2no,iposmia_1si_2no,disturbo_sonno_rem_1si_2no,depressione_1si_2no,mesi_osservati,anni_osservati,cadute_con_frattura,sex_m1_f2_code,postural_alteration_1si2no_code,falls_last_year_1si_2no_code,stipsi_1si_2no_code,iposmia_1si_2no_code,disturbo_sonno_rem_1si_2no_code,depressione_1si_2no_code,total_falls,falls_month_rate,falls_year_rate,fallers_1_nonfaller_0,recurrent_fallers1_nonfallers_occasional0
hr_v,1.0,0.36109885134923375,0.6971822914145672,-0.03156389224464323,-0.033059457882151574,-0.05278440799068866,0.25647506511649953,-0.022987785591275126,-0.0037731471824835887,-0.16087488550114665,0.15212925480667766,-0.28674336380072435,0.20857401695455363,-0.21720472895372492,0.23522774394252852,0.16578730698321606,-0.33971662421054716,-0.4592268004368718,-0.45810674679519503,-0.19613430417406333,0.28343221542737873,0.14500257688782123,0.07141445200609484,-0.07832608845103084,0.05466849974897826,0.1069755656430336,-0.010846150084575264,0.04031411865408694,0.02160254310767569,-0.048237981768823913,0.14681483713808274,0.08654082606984677,0.15712814389073484,-0.17859683564950438,-0.1785968356495043,-0.03187257280674563,0.27260410756712916,0.24176074288404426,0.16311618154152652,-0.043206031358361506,0.1507373241813392,0.0940417979540144,0.16211694895726741,-0.10454003631360446,-0.07866088436812589,-0.07866088436812586,-0.25425933243775156,-0.1379157179527976
hr_ml,0.36109885134923375,1.0,0.44380519769475607,-0.004609087805185631,0.06609066736805821,0.009599072485991421,0.09359455767570195,0.1364168209664458,-0.001548040505894637,-0.19505372732106113,0.22654185240346764,-0.18834557086443357,0.2253875135330019,-0.13387226636822872,0.0708981160812993,-0.014830551665955247,-0.0727049210280804,-0.022893977672067193,0.05258485037659134,-0.08707821780014213,0.06716032450369427,0.015577246297716962,-0.035600839223475754,0.02265533804274553,-0.010666638236803706,0.04003729617472217,-0.16222282648299668,0.14206827228901867,-0.16578833649124308,-0.2448734484620485,-0.11153262437788941,0.08139761849646851,0.07059854598295634,-0.10160152361412952,-0.10160152361412948,-0.01157138569437061,0.09837559790970299,0.06742181582309736,-0.015625896624448563,-0.2492875166726364,-0.11652068889909585,0.07791432536447636,0.06569631583213997,0.05091690845821175,0.023787703561797314,0.023787703561797338,0.016770121898397133,0.16846142691681393
hr_ap,0.6971822914145672,0.44380519769475607,1.0,-0.03655745594011815,-0.0394430220344165,0.020107531377258812,0.23173220564009017,0.07494165755816394,-0.06164325178210298,-0.19804112021917258,0.19902756211415407,-0.226055404419528,0.2769233622272343,-0.23698032776295622,0.04600501069558484,0.024407176344131695,-0.3437350198716463,-0.4527800710465412,-0.3815985290518927,-0.14425528518000238,0.3015575204703819,0.12184294537728824,0.1519256873894681,-0.14929447529516257,0.15216361617184265,-0.065591922165908,-0.14768674892520725,0.11076252134019655,-0.11716715031133626,-0.15076927265526902,-0.008426961434756415,0.11124417302527842,0.0530834069493091,-0.10759700279349836,-0.10759700279349833,0.0945436154968613,0.24155190761773535,0.049977017946638246,0.0227508586592371,-0.14745748815228849,-0.008646775910721827,0.11888175319254017,0.05379094835907778,-0.0506263903789176,-0.04272398390674432,-0.04272398390674434,-0.11117614870008193,-0.016397573401622737
%det_v,-0.03156389224464323,-0.004609087805185631,-0.03655745594011815,1.0,0.8921924756160222,0.9276398343101956,-0.0233782258436094,-0.09245546872160434,0.04106374808762334,-0.08858339336887788,-0.16962261129789116,0.14583429423311586,-0.24409979133249335,0.09450389235719463,-0.08686580623820628,0.044137293068678786,0.06966135550597896,-0.03596375027880687,0.05100603956524244,-0.15632004436347025,-0.24562676349431684,0.01580491761337565,-0.04791859091566325,0.04371398852729992,-0.11161491501867304,0.05667160192246116,0.08439601011375833,0.2956903252611137,0.08948223912221451,0.16051471232144018,-0.024188727297886865,0.08220759556255783,-0.05812678918609076,0.18534286233097164,0.18534286233097164,-0.06330324174411103,-0.02529776252042425,-0.0871307887563512,0.04444705766036529,0.15067345928111556,-0.037366575973352426,0.07606163401776507,-0.07474891391348573,0.17897132019520665,0.19251303038448891,0.19251303038448894,0.07815530092011655,0.0801743051390726
%det_ml,-0.033059457882151574,0.06609066736805821,-0.0394430220344165,0.8921924756160222,1.0,0.8931909182753843,0.017292251389547132,-0.1484074805574595,0.07526579046205584,-0.025856149615343427,-0.2568918206297236,0.21515164187247152,-0.3617819872543424,0.09203908165064896,-0.07119713702576702,0.007556520499341713,-0.00511692005585742,-0.07065784000334081,0.025168149150249005,-0.16025754638233206,-0.16314508382189585,0.0680265926470988,-0.11858251003154753,0.12217237114666465,-0.19855268248474708,0.019573925430571983,0.06621610264833505,0.3089356642080264,0.07204497499332772,0.05617553769835706,-0.07610835702316314,0.03462346612646684,-0.016146159113814926,0.23595138484455058,0.2359513848445505,-0.08404994381112961,0.017154080247388227,-0.06945127369691019,0.007569512658208037,0.0433103916735644,-0.0930174034681604,0.028710243193085724,-0.03453175571479209,0.24147821605049458,0.24655745618482422,0.24655745618482428,0.16802812151662805,0.2422161531302916
%det_ap,-0.05278440799068866,0.009599072485991421,0.020107531377258812,0.9276398343101956,0.8931909182753843,1.0,0.026331222000368703,-0.04144881542414818,-0.02393757525216259,-0.15569677964646828,-0.19303013567548954,0.2585009222266865,-0.2352107346484486,0.21071997981990243,-0.09467617809807895,-0.08252347608723475,0.0796182634981194,-0.05238757450277851,0.11642995965129307,-0.13059721202700758,-0.2825608850698505,-0.016971863919910183,-0.033716823257000886,0.029092769064886403,-0.10195308087923473,0.036622473922628115,0.0559115353711661,0.21376483717803826,0.06038617632749593,0.05417339208165172,-0.07652307157994694,0.04374694392260504,0.014673517680417112,0.19940107662693948,0.19940107662693954,-0.0005307010869105407,0.02521803799342014,-0.09365812756622198,-0.08235467543165433,0.041162879695314784,-0.08917328472386715,0.03568080348983161,-0.0021338632908647825,0.2626521154045727,0.2460321700948176,0.2460321700948176,0.17354918723419305,0.22020841903536933
sex_m1_f2,0.25647506511649953,0.09359455767570195,0.23173220564009017,-0.0233782258436094,0.017292251389547132,0.026331222000368703,1.0,-0.08291643178017706,-0.6211252376995348,-0.4621039521887188,-0.0008889431945304233,-0.10587725674127678,0.041281797797224386,-0.09807610562472001,0.08877787344423456,0.017638624380876218,-0.1830564419585383,-0.1525404412062306,-0.17058946422954288,-0.08095909020385195,0.024863149891145908,0.09494400662842933,0.07478497344442726,-0.06754649170414083,0.13241287304488084,-0.07604211907905688,-0.11753072534190084,-0.09886795108191197,-0.0899512039307216,-0.20564272557426766,0.16811680520190295,0.04170083913206734,-0.15611552297870207,-0.028896053550622573,-0.028896053550622584,0.06783817889780899,0.9969919257700707,0.09137202581261479,0.017637313128621563,-0.20642503008314306,0.16249924883681285,0.04476407236085785,-0.15698724334495953,0.08274873776751554,0.08604605791936834,0.08604605791936831,-0.048886248882726906,-0.08812450485861716
age,-0.022987785591275126,0.1364168209664458,0.07494165755816394,-0.09245546872160434,-0.1484074805574595,-0.04144881542414818,-0.08291643178017706,1.0,-0.16569087960428647,-0.024864608146335655,0.7986139324641778,0.047002468772951625,0.6887450589396227,0.05920824771259024,0.16415358060796598,-0.31448703882704926,0.184386781112513,0.12388395250413611,0.3635717251941158,-0.008066494980707887,-0.09061253015665868,-0.4100149438199155,0.3023951569308128,-0.31018662438073935,0.266259545941261,0.04052911379730135,-0.3875066568843786,-0.17135614174321084,-0.3768302566024728,-0.17106086025894882,-0.16674271447716943,-0.215067828501728,-0.14317139227110673,-0.2025742538537043,-0.20257425385370434,0.110652697889216,-0.08266701299850128,0.1607227464555921,-0.3144636599155286,-0.16973067573196537,-0.16312522436182594,-0.2193872285517398,-0.14439468858960222,-0.038161601749369056,-0.04001141026036225,-0.04001141026036225,0.09454719266114939,-0.027459978418163906
heigth,-0.0037731471824835887,-0.001548040505894637,-0.06164325178210298,0.04106374808762334,0.07526579046205584,-0.02393757525216259,-0.6211252376995348,-0.16569087960428647,1.0,0.49863566734363607,-0.1769203996037359,0.05594565809652231,-0.13921803308077468,0.0025935858167784585,-0.07996654708110927,-0.04293842819212946,-0.10462391122811701,-0.02789546650429233,-0.0702033182723844,-0.06981366537861708,0.08047662725441071,-0.029646095728703296,-0.14161084199985227,0.13481583334574287,-0.12453074246586295,0.12426000738124163,0.15275373996262775,0.09378267672619177,0.14279224526657272,0.2668746809977738,0.09246625860652323,0.13267268629963613,0.1413950792996606,0.025308504973189136,0.025308504973189132,-0.08471738929264308,-0.6192568468784521,-0.08052592045905664,-0.04293523615687968,0.2672295321825738,0.0955961188940337,0.13172437703070813,0.13948601828132998,-0.03858332978096848,-0.036712738150560635,-0.03671273815056062,0.02585894432788754,0.1280108224574428
weigth,-0.16087488550114665,-0.19505372732106113,-0.19804112021917258,-0.08858339336887788,-0.025856149615343427,-0.15569677964646828,-0.4621039521887188,-0.024864608146335655,0.49863566734363607,1.0,0.03655248066037164,-0.09828401701967587,0.012046046955531258,-0.1486550117002233,-0.03850905425931702,0.04080679254599673,0.05039449882044793,0.1430031459360404,0.019552765246938216,0.0794871934166698,0.20314375752284575,0.0655266670845978,-0.2522965547860138,0.25165875893425005,-0.18733608093107224,0.06960407701602005,0.10922529920317817,0.011963720492771158,0.08623576069132388,0.23966177309463804,0.1623007787871026,-0.0006287583521509847,0.017446434522448897,-0.04438466481251255,-0.044384664812512575,-0.07151008689384232,-0.4607139091985916,-0.03925850213541065,0.040803758976168385,0.23009964093937535,0.15116638667731122,-0.00570181474060348,0.010548172820431467,-0.22803036509361427,-0.19149717485076873,-0.1914971748507687,0.07487389284624224,-0.018524013436581478
