,count,mean,std,min,25%,50%,75%,max,missing (%)
hr_v,71.0,2.082333042253521,0.5371917650658425,1.106547,1.7601575,1.997,2.3355,3.405,0.0
hr_ml,71.0,1.8196022957746476,0.390858149685732,1.072863,1.4925000000000002,1.817221,2.023,2.819,0.0
hr_ap,71.0,2.046662197183098,0.5431568758436085,0.939274,1.5985,2.108,2.4955,3.555,0.0
%det_v,71.0,64.55829611487539,23.653970229259745,8.272,46.0105,70.179,82.2205,97.7140641158221,0.0
%det_ml,71.0,61.20130493352402,27.426319680106545,4.526,48.182500000000005,68.993,83.27345683833994,98.5227949447496,0.0
%det_ap,71.0,59.555878510238664,28.235656427095513,5.786,41.7315,66.684,85.92599999999999,98.4311433178925,0.0
sex_m1_f2,71.0,1.289855072463768,0.4504426164614508,1.0,1.0,1.0,2.0,2.0,0.0
age,71.0,71.36231884057972,7.744068724777607,47.0,68.0,72.0,76.5,86.0,0.0
heigth,71.0,168.40579710144928,8.073446494668646,150.0,162.5,170.0,172.5,191.0,0.0
weigth,71.0,74.15942028985508,12.09205546559487,32.0,67.5,74.15942028985508,81.0,104.0,0.0
age_onset,71.0,64.91304347826087,9.307046685840914,36.0,59.0,66.0,72.0,83.0,0.0
duration_years,71.0,6.4681159420289855,5.620129453354591,0.0,2.0,5.0,10.0,26.0,0.0
onset_1early_49_2_middle_50-69_3late_70_,71.0,2.260869565217391,0.6012409527217966,1.0,2.0,2.0,3.0,3.0,0.0
ledd,71.0,424.7352941176471,260.2174704603308,0.0,230.0,400.0,547.5,1227.0,0.0
postural_alteration_1si2no,71.0,1.4029850746268657,0.479872051177255,1.0,1.0,1.0,2.0,2.0,0.0
falls_last_year_1si_2no,71.0,1.536231884057971,0.4951106700217217,1.0,1.0,2.0,2.0,2.0,0.0
updrs-ii,71.0,15.0,7.103319143692113,3.0,10.0,15.0,18.0,34.0,0.0
updrs-iii,71.0,17.135593220338983,6.839919855667993,3.0,13.0,17.135593220338983,20.5,36.0,0.0
h-y,71.0,2.3043478260869565,0.9457324874869207,1.0,2.0,2.0,3.0,4.0,0.0
tilt,71.0,4.096376811594203,1.6386475006754746,1.7,3.2,3.85,4.550000000000001,10.35,0.0
obliquity,71.0,5.244202898550724,2.189109183335346,0.85,3.825,5.244202898550724,6.35,12.15,0.0
rotation,71.0,6.058695652173914,3.4225560260648464,1.0,3.525,5.35,7.9,18.85,0.0
stance,71.0,60.936376811594194,2.1664818228207765,56.55,59.67,60.9363768115942,62.1375,66.05,0.0
swing,71.0,39.065289855072464,2.177687647164495,33.955,37.8625,39.065289855072464,40.33,43.44,0.0
double_support,71.0,11.119384615384618,2.185195808109704,6.6,9.89375,11.119384615384616,12.215,16.7025,0.0
single_support,71.0,41.52397058823529,21.483180955589148,14.39,38.085,39.265,40.9975,217.345,0.0
stride_length,71.0,1.29421875,1.3037917829902352,0.64,1.0,1.155,1.29421875,11.985,0.0
cadence,71.0,104.53705882352939,20.986970451675386,0.98,99.945,106.56,115.245,136.35,0.0
gait_speed,71.0,1.1722727272727271,1.28918445477812,0.5,0.84,1.03,1.1722727272727271,11.7,0.0
stipsi_1si_2no,71.0,1.369230769230769,0.46504165003119474,1.0,1.0,1.0,2.0,2.0,0.0
iposmia_1si_2no,71.0,1.396825396825397,0.46413306403852206,1.0,1.0,1.0,2.0,2.0,0.0
disturbo_sonno_rem_1si_2no,71.0,1.3880597014925373,0.47675162388208014,1.0,1.0,1.0,2.0,2.0,0.0
depressione_1si_2no,71.0,1.3846153846153848,0.46880723093849547,1.0,1.0,1.0,2.0,2.0,0.0
mesi_osservati,71.0,22.267605633802816,12.645674298779996,1.0,13.0,20.0,32.5,48.0,0.0
anni_osservati,71.0,1.8556338028169017,1.0538061915649997,0.0833333333333333,1.0833333333333333,1.6666666666666667,2.708333333333333,4.0,0.0
cadute_con_frattura,71.0,0.11267605633802817,0.31844693546056513,0.0,0.0,0.0,0.0,1.0,0.0
sex_m1_f2_code,71.0,0.5915492957746479,0.9036033388405462,0.0,0.0,0.0,2.0,2.0,0.0
postural_alteration_1si2no_code,71.0,0.8169014084507042,0.9608011412347446,0.0,0.0,0.0,2.0,2.0,0.0
falls_last_year_1si_2no_code,71.0,1.0704225352112675,0.9902949583976315,0.0,0.0,2.0,2.0,2.0,0.0
stipsi_1si_2no_code,71.0,0.7605633802816901,0.9329643804622274,0.0,0.0,0.0,2.0,2.0,0.0
iposmia_1si_2no_code,71.0,0.8169014084507042,0.9305890477837846,0.0,0.0,0.0,2.0,2.0,0.0
disturbo_sonno_rem_1si_2no_code,71.0,0.7887323943661971,0.9549194873727235,0.0,0.0,0.0,2.0,2.0,0.0
depressione_1si_2no_code,71.0,0.7887323943661971,0.9398403049416196,0.0,0.0,0.0,2.0,2.0,0.0
total_falls,71.0,7.774647887323944,16.097202226384017,0.0,0.0,1.0,5.5,82.0,0.0
falls_month_rate,71.0,0.4032182626659983,0.9467229343723598,0.0,0.0,0.0625,0.2565359477124183,5.466666666666667,0.0
falls_year_rate,71.0,4.8386191519919795,11.360675212468315,0.0,0.0,0.75,3.0784313725490193,65.6,0.0
fallers_1_nonfaller_0,71.0,0.6197183098591549,0.48891124473813075,0.0,0.0,1.0,1.0,1.0,0.0
recurrent_fallers1_nonfallers_occasional0,71.0,0.2535211267605634,0.43812293966599075,0.0,0.0,0.0,0.5,1.0,0.0
